word,pos,zh,corpus_count,corpus_share,tracks
groove,n.,凹槽、惯例、理想境况,591,0.595,cet6
groove,v.,开槽于,175,0.176,cet6
grope,v.,摸索,36,0.590,cet6+postgrad
grope,n.,摸索,20,0.328,cet6+postgrad
ground,n.,土地、战场、场地,29998,0.962,life
ground,v.,放在地上、使搁浅、打基础,323,0.010,life
growl,n.,吠声、咆哮声,151,0.599,cet6
growl,v.,怒吠、咆哮、吼,76,0.302,cet6
grunt,n.,呼噜声、咕哝,108,0.486,cet6
grunt,v.,作呼噜声,42,0.189,cet6
guarantee,v.,保证、担保,2789,0.574,cet4+cet6+postgrad
guarantee,n.,担保、抵押品、保证书,2061,0.424,cet4+cet6+postgrad
guard,n.,守卫者、警戒、护卫队,2971,0.697,life+cet4+cet6+postgrad
guard,v.,保卫、看守、当心,535,0.126,life+cet4+cet6+postgrad
guess,v.,猜测、臆测,19509,0.669,life
guess,n.,猜测、臆测,6695,0.229,life
guide,n.,引导者、导游、指南,7011,0.754,life+cet4+cet6+postgrad
guide,v.,指导、支配、管理,1363,0.147,life+cet4+cet6+postgrad
half,n.,一半、半场、不完全,43510,0.607,life
half,adj.,一半的、不完全的、部分的,4323,0.060,life
halt,n.,停止、立定、休息,1405,0.806,cet4+cet6+postgrad
halt,v.,使停止、使立定,322,0.185,cet4+cet6+postgrad
hammer,n.,锤、铁锤、钉锤,7195,0.783,cet4+cet6+postgrad
hammer,v.,锤打、敲打、钉,285,0.031,cet4+cet6+postgrad
hand,n.,手、爪、指针,52192,0.948,life
hand,v.,交给、支持、搀扶,2483,0.045,life
harbour,n.,港、避难所,2026,0.755,cet4+cet6
harbour,v.,庇护、藏匿、(使)入港停泊,96,0.036,cet4+cet6
hard,adj.,坚硬的、硬的、难的,58328,0.754,life
hard,adv.,坚硬地、努力地、辛苦地,18556,0.240,life
harm,n.,伤害、害处,3385,0.744,cet4+cet6+postgrad
harm,v.,伤害、损害,1156,0.254,cet4+cet6+postgrad
harness,n.,马具、挽具状带子、甲胄,500,0.585,cet4+cet6+postgrad
harness,v.,给...上挽具、驾驭、披上甲胄,332,0.388,cet4+cet6+postgrad
harp,n.,竖琴,422,0.834,cet6
harp,v.,弹奏竖琴、不停地说,35,0.069,cet6
harvest,n.,收获、成果、收获物,1565,0.724,cet4+cet6+postgrad
harvest,v.,收割、收获,480,0.222,cet4+cet6+postgrad
hatch,n.,孵化、舱口,630,0.441,cet4+cet6+postgrad
hatch,v.,孵、孵出、策划,597,0.418,cet4+cet6+postgrad
hate,v.,憎恨、憎恶,11771,0.895,life+cet4+cet6+postgrad
hate,n.,憎恨、恨、厌恶,1198,0.091,life+cet4+cet6+postgrad
haul,n.,用力拖拉、拖运、强拉,1142,0.721,cet6+postgrad
haul,v.,拖、拉、改变方向,412,0.260,cet6+postgrad
head,n.,头、头脑、领袖,67804,0.827,life
head,v.,为首、朝向、前进,9687,0.118,life
heat,n.,热、热度、体温,10360,0.883,life+cet4+cet6+postgrad
heat,v.,加热、激昂、加剧,888,0.076,life+cet4+cet6+postgrad
heavy,adj.,重的、巨大的、沉重的,15048,0.938,life
heavy,n.,重物、严肃角色,420,0.026,life
hedge,n.,树篱、障碍、套头交易,1567,0.860,cet4+cet6+postgrad
hedge,v.,用树篱围、套期保值、妨碍,138,0.076,cet4+cet6+postgrad
hedge,adj.,树篱的、偷偷摸摸的,68,0.037,cet4+cet6+postgrad
help,v.,帮助、帮忙、接济,84919,0.754,life
help,n.,帮忙、帮助者、补救办法,27680,0.246,life
high,adj.,高的、高级的、主要的,59207,0.871,life
high,adv.,高度地、奢侈地,1436,0.021,life
highlight,n.,加亮区、精彩场面,1374,0.606,cet4+cet6+postgrad
highlight,v.,加亮、使显著、以强光照射,881,0.389,cet4+cet6+postgrad
hike,n.,徒步旅行、远足、涨价,631,0.796,cet6+postgrad
hike,v.,步行、徒步旅行、上升,106,0.134,cet6+postgrad
hint,n.,暗示、提示,1701,0.951,cet4+cet6+postgrad
hint,v.,暗示、示意,88,0.049,cet4+cet6+postgrad
hire,v.,雇请、出租,1495,0.684,life+cet4+cet6+postgrad
hire,n.,租金、租用、雇用,642,0.294,life+cet4+cet6+postgrad
hiss,n.,嘘声、嘶嘶声,91,0.378,cet6
hiss,v.,发出嘘声、发嘶嘶声,64,0.266,cet6
hit,v.,打、打击、碰撞,34279,0.835,life+cet4+cet6+postgrad
hit,n.,打击、打、冲撞,6748,0.164,life+cet4+cet6+postgrad
hoe,n.,锄头,96,0.536,cet6
hoe,v.,用锄耕地、锄,82,0.458,cet6
hoist,v.,升起、升高、举起,87,0.380,cet6+postgrad
hoist,n.,升高、起重机、推动,82,0.358,cet6+postgrad
hold,v.,保存、握住、拿住,36926,0.869,life
hold,n.,把握、把持力、柄,5575,0.131,life
home,n.,家、避难所、故乡,135450,0.925,life
home,adv.,在家、在本国、打中目标地,3861,0.026,life
honour,n.,荣誉、头衔、信用,5410,0.774,cet4+cet6
honour,v.,尊敬、授予荣誉、承兑,978,0.140,cet4+cet6
hop,n.,单脚跳、跳跃、舞会,2265,0.555,cet6+postgrad
hop,v.,单脚跳、跳跃,707,0.173,cet6+postgrad
hope,v.,希望、期望、信赖,51411,0.697,life
hope,n.,希望、信心、期待,17965,0.244,life
hopeful,adj.,有希望的、怀抱希望的、保持乐观的,1808,0.971,cet4+cet6+postgrad
hopeful,n.,有希望之人、有前途之人,51,0.027,cet4+cet6+postgrad
host,n.,主人、旅馆老板、节目主持人,4135,0.827,life+cet4+cet6+postgrad
host,v.,当主人招待、作...节目主持人,816,0.163,life+cet4+cet6+postgrad
hostile,adj.,敌人的、怀敌意的、敌对的,1094,0.944,cet4+cet6+postgrad
hostile,n.,敌对分子,65,0.056,cet4+cet6+postgrad
hover,v.,盘旋、翱翔、徘徊,155,0.459,cet6+postgrad
hover,n.,翱翔,143,0.423,cet6+postgrad
huddle,n.,杂乱一团、混乱、拥挤,89,0.412,cet6+postgrad
huddle,v.,把...挤在一起、乱堆、草率了事,75,0.347,cet6+postgrad
hum,n.,嗡嗡声、哼声、杂声,324,0.523,cet6+postgrad
hum,v.,发低哼声,129,0.208,cet6+postgrad
humour,n.,幽默、诙谐、情绪,2864,0.917,cet4+cet6
humour,v.,使满足、迁就,96,0.031,cet4+cet6
hurt,v.,伤害、(使)伤心、危害,11764,0.882,life+cet4+cet6+postgrad
hurt,n.,伤害、创伤、损害,1166,0.087,life+cet4+cet6+postgrad
hush,n.,肃静、安静、沉默,95,0.119,cet6
hush,v.,(使)肃静、(使)安静、(使)缄默,61,0.077,cet6
ideal,adj.,理想的、完美的、空想的,5823,0.823,cet4+cet6+postgrad
ideal,n.,理想、典范、观念,879,0.124,cet4+cet6+postgrad
impact,n.,冲击、冲突、影响,13715,0.955,life+cet4+cet6+postgrad
impact,v.,挤入、撞击、压紧,576,0.040,life+cet4+cet6+postgrad
imperative,adj.,命令式的、急需的、势在必行的,434,0.736,cet6+postgrad
imperative,n.,命令、必要的事、规则,155,0.263,cet6+postgrad
import,n.,进口货、进口、输入,485,0.578,cet4+cet6+postgrad
import,v.,输入、引入、进口,354,0.422,cet4+cet6+postgrad
inch,n.,英寸、身高、小岛,2939,0.963,cet4+cet6+postgrad
inch,v.,慢慢前进、慢慢移动,78,0.026,cet4+cet6+postgrad
increase,n.,增加、增进、利益,6940,0.545,life+cet4+cet6+postgrad
increase,v.,增加、加大,5790,0.455,life+cet4+cet6+postgrad
individual,adj.,个别的、个人的、独特的,7888,0.760,life+cet4+cet6+postgrad
individual,n.,人、个人、个体,2480,0.239,life+cet4+cet6+postgrad
infant,n.,婴儿、儿童、初学者,528,0.879,cet4+cet6+postgrad
infant,adj.,婴儿的、幼稚的,41,0.068,cet4+cet6+postgrad
infinite,adj.,无穷的、无限的、极大的,345,0.639,cet4+cet6+postgrad
infinite,n.,无限、神,141,0.261,cet4+cet6+postgrad
influence,n.,影响力、权力、势力,5023,0.817,life+cet4+cet6+postgrad
influence,v.,影响、改变,1115,0.181,life+cet4+cet6+postgrad
initiate,v.,开始、传授基本知识给,220,0.913,cet6+postgrad
initiate,n.,入会、开始,20,0.083,cet6+postgrad
insert,v.,插入、把(人造卫星)射入(轨道)、添写,362,0.879,cet4+cet6+postgrad
insert,n.,插入物,47,0.114,cet4+cet6+postgrad
instant,adj.,紧急的、立即的、即时的,1467,0.642,cet4+cet6+postgrad
instant,n.,立即、瞬间,801,0.351,cet4+cet6+postgrad
intellectual,adj.,智力的、用脑力的、聪明的,1131,0.943,cet4+cet6+postgrad
intellectual,n.,有知识者、知识分子、凭理智做事者,43,0.036,cet4+cet6+postgrad
intent,n.,意图、含义、故意,1357,0.945,cet6
intent,adj.,专心的、决心的、热心的,76,0.053,cet6
interact,v.,互相影响、交互作用,567,0.858,cet6+postgrad
interact,n.,幕间剧、幕间休息,78,0.118,cet6+postgrad
interest,n.,兴趣、嗜好、利息,22085,0.980,life+cet4+cet6+postgrad
interest,v.,使感兴趣、与...有关系,433,0.019,life+cet4+cet6+postgrad
interim,adj.,暂时的、临时的、间歇的,556,0.884,cet6+postgrad
interim,n.,过渡时期,62,0.099,cet6+postgrad
interior,n.,内部、内政,1594,0.535,cet4+cet6+postgrad
interior,adj.,内部的、心灵的、内地的,1198,0.402,cet4+cet6+postgrad
interview,n.,面谈、访问、接见,7006,0.885,life+cet4+cet6+postgrad
interview,v.,接见、对...进行面谈(试),861,0.109,life+cet4+cet6+postgrad
intrigue,n.,阴谋、复杂的事,100,0.351,cet6+postgrad
intrigue,v.,密谋、私通,42,0.147,cet6+postgrad
iron,n.,铁、熨斗、铁器,4672,0.707,cet4+cet6+postgrad
iron,v.,烫平、熨、用铁包,279,0.042,cet4+cet6+postgrad
issue,n.,发行、问题、后果,29923,0.976,life+cet4+cet6+postgrad
issue,v.,发行、流出、造成...结果,722,0.024,life+cet4+cet6+postgrad
Japanese,adj.,日本的、日语的,5313,0.920,life
Japanese,n.,日本人、日语,69,0.012,life
jerk,n.,性情古怪的人、急拉、肌肉抽搐,605,0.856,cet6
jerk,v.,痉挛、急拉、急推,49,0.069,cet6
jet,n.,喷射流、喷嘴、煤玉,2670,0.819,cet4+cet6+postgrad
jet,v.,射出、迸出、喷射,84,0.026,cet4+cet6+postgrad
jog,n.,轻推、轻撞、慢跑,255,0.487,cet6+postgrad
jog,v.,轻推、(使)蹒跚行进、(使)慢跑,204,0.389,cet6+postgrad
join,v.,参加、结合、加入,24911,0.982,life
join,n.,连接、结合、接合点,270,0.011,life
joint,adj.,共同的、联合的、连接的,2811,0.700,cet4+cet6+postgrad
joint,n.,连接处、接合、关节,840,0.209,cet4+cet6+postgrad
joke,n.,笑话、玩笑、笑柄,7544,0.953,cet4+postgrad
joke,v.,开玩笑、取笑、作弄,333,0.042,cet4+postgrad
jolly,adv.,非常、极为,1572,0.528,cet4+cet6+postgrad
jolly,adj.,愉快的、高兴的、宜人的,1313,0.441,cet4+cet6+postgrad
judge,n.,法官、裁判员、审判官,6351,0.649,life+cet4+cet6+postgrad
judge,v.,审理、鉴定、判断,2793,0.286,life+cet4+cet6+postgrad
jump,n.,跳跃、跳动、暴涨,6774,0.483,life
jump,v.,跳跃、跃过、突升,6749,0.481,life
keen,adj.,锋利的、敏锐的、强烈的,13413,0.951,cet4+cet6+postgrad
keen,v.,唱挽歌、痛哭,567,0.040,cet4+cet6+postgrad
kick,n.,踢、反冲、后座力,9254,0.567,life+cet4+cet6+postgrad
kick,v.,踢、反抗、反冲,6272,0.384,life+cet4+cet6+postgrad
kill,v.,杀、破坏、消灭,15290,0.926,life+cet4+postgrad
kill,n.,杀、杀戮、小河,1216,0.074,life+cet4+postgrad
kind,n.,种类、性质、方式,73783,0.915,life
kind,adj.,亲切的、仁慈的、和蔼的,1769,0.022,life
kiss,v.,吻,4475,0.502,cet4+postgrad
kiss,n.,吻,4398,0.493,cet4+postgrad
kite,n.,风筝、筝帆、空头支票,1171,0.757,cet4+cet6+postgrad
kite,v.,象风筝一样飞、轻快地移动、使用空头支票,46,0.030,cet4+cet6+postgrad
label,n.,标签、称号、商标,2517,0.924,cet4+cet6+postgrad
label,v.,贴标签于、标注,175,0.064,cet4+cet6+postgrad
lace,n.,饰带、花边、缎带,797,0.746,cet4+cet6+postgrad
lace,v.,结带子、饰以花边,52,0.049,cet4+cet6+postgrad
lack,n.,缺乏、无、不足,7561,0.907,life+cet4+postgrad
lack,v.,缺乏、短少、不足,766,0.092,life+cet4+postgrad
lag,n.,落后、囚犯、迟延,200,0.794,cet4+cet6+postgrad
lag,v.,落后、蹒跚、缓缓而行,52,0.206,cet4+cet6+postgrad
lamb,n.,小羊、羔羊,6671,0.807,cet4+cet6+postgrad
lamb,v.,产羊羔,147,0.018,cet4+cet6+postgrad
land,n.,陆地、地面、地界,25184,0.825,life
land,v.,登陆、登岸、到达,2902,0.095,life
lap,n.,膝盖、舔、一圈,3191,0.946,cet4+cet6+postgrad
lap,v.,重叠、围住、轻拍,157,0.047,cet4+cet6+postgrad
last,adj.,最后的、末尾的、最近的,185242,0.976,life
last,v.,持续、支持、维持,4300,0.023,life
late,adj.,迟的、晚的、已故的,23202,0.715,life
late,adv.,很晚、很迟、晚,9214,0.284,life
launch,n.,下水、汽艇、发射,2494,0.539,life+cet4+cet6+postgrad
launch,v.,使下水、发射、发动,2046,0.442,life+cet4+cet6+postgrad
lead,n.,铅、铅条、领导,18333,0.600,life+cet4+postgrad
lead,v.,引导、带领、领导,10964,0.359,life+cet4+postgrad
lead,adj.,带头的、最重要的,1279,0.042,life+cet4+postgrad
leaf,n.,叶、树叶、花瓣,3479,0.893,life+cet4+cet6+postgrad
leaf,v.,生叶、翻书页,44,0.011,life+cet4+cet6+postgrad
leak,n.,漏洞、漏处、漏出,1499,0.813,cet4+cet6+postgrad
leak,v.,漏、泄漏,324,0.176,cet4+cet6+postgrad
lean,adj.,瘦的、贫乏的、歉收的,1147,0.506,life+cet4+cet6+postgrad
lean,v.,倚靠、倾斜、依赖,1121,0.494,life+cet4+cet6+postgrad
leap,n.,跳跃、剧增、急变,1777,0.677,cet4+cet6+postgrad
leap,v.,跳跃、突然经过,583,0.222,cet4+cet6+postgrad
lease,n.,租约、租期、租,1263,0.913,cet6+postgrad
lease,v.,出租、租出、租得,102,0.074,cet6+postgrad
leave,v.,离开、剩下、遗忘,59936,0.962,life
leave,n.,许可、告别、请假,2351,0.038,life
lecture,n.,演讲、谴责、讲稿,867,0.787,cet4+cet6+postgrad
lecture,v.,演讲、训诫、说教,213,0.193,cet4+cet6+postgrad
left,n.,左、左面、左派,8050,0.087,life
left,adj.,左边的、左倾的、左侧的,6034,0.065,life
less,adj.,少的、小的,28519,0.690,life+cet4+postgrad
less,adv.,较少、较小、较差,12753,0.308,life+cet4+postgrad
level,n.,水平、水准、平地,25745,0.950,life+cet4+cet6+postgrad
level,v.,弄平、夷平、使同等,527,0.019,life+cet4+cet6+postgrad
level,adj.,同高的、平坦的、齐平的,367,0.014,life+cet4+cet6+postgrad
lever,n.,杠杆、似杠杆之工具,664,0.726,cet4+cet6+postgrad
lever,v.,撬开,43,0.047,cet4+cet6+postgrad
levy,n.,税款、所征的人数、征收,876,0.636,postgrad
levy,v.,征税、课税,57,0.041,postgrad
license,n.,执照、许可证、特许,466,0.916,cet4+cet6+postgrad
license,v.,许可、特许,39,0.077,cet4+cet6+postgrad
lick,v.,舔、卷过、鞭打,700,0.475,cet4+cet6+postgrad
lick,n.,舔、少许、打,698,0.474,cet4+cet6+postgrad
lie,v.,躺着、说谎、位于,6885,0.587,life
lie,n.,谎言、假象、位置,4840,0.413,life
lift,v.,升高、提高、鼓舞,6142,0.544,life+cet4+postgrad
lift,n.,举起、帮助、昂扬,5039,0.446,life+cet4+postgrad
light,n.,光、光亮、灯,19552,0.512,life
light,adj.,轻的、少量的、轻微的,16627,0.435,life
light,v.,点燃、照亮,1478,0.039,life
lightning,n.,闪电,1795,0.890,cet4+cet6+postgrad
lightning,v.,闪电,51,0.025,cet4+cet6+postgrad
likely,adj.,有可能的、合适的、前途有望的,14577,0.971,life+cet4+cet6+postgrad
likely,adv.,或许、可能,431,0.029,life+cet4+cet6+postgrad
lime,n.,石灰、粘鸟胶、酸橙,1821,0.742,cet4+cet6
lime,v.,以石灰处理、粘鸟胶于、撒石灰,48,0.020,cet4+cet6
limit,n.,界限、边界、限度,4790,0.867,life+cet4+cet6+postgrad
limit,v.,限制、限定,697,0.126,life+cet4+cet6+postgrad
line,n.,列、线、绳,54281,0.960,life+cet4+cet6+postgrad
line,v.,排成一行、顺...排列、划线于,770,0.014,life+cet4+cet6+postgrad
link,n.,环、连结物、链接,24981,0.733,life+cet4+cet6+postgrad
link,v.,连结、联合、挽住,974,0.029,life+cet4+cet6+postgrad
lip,n.,唇、口缘、唇状构造,1515,0.933,life+cet4+cet6+postgrad
lip,adj.,口头上的,82,0.051,life+cet4+cet6+postgrad
liquid,n.,液体、流体、流音,2080,0.578,cet4+cet6+postgrad
liquid,adj.,液体的、透明的、明亮的,1513,0.421,cet4+cet6+postgrad
list,n.,目录、名单、明细表,17872,0.983,life+cet4+cet6+postgrad
list,v.,列出、列于表上、记入名单内,303,0.017,life+cet4+cet6+postgrad
literate,adj.,有读写能力的、精通文学的、受过教育的,108,0.651,postgrad
literate,n.,学者,35,0.211,postgrad
little,adj.,小的、很少的、幼小的,202168,0.928,life
little,adv.,很少、稍微、完全不,9091,0.042,life
live,v.,活、生存、居住,50087,0.783,life
live,adj.,活的、生动的、精力充沛的,11903,0.186,life
load,n.,负荷、担子、重担,5589,0.896,cet4+cet6+postgrad
load,v.,装载、装填、使担负,648,0.104,cet4+cet6+postgrad
loan,n.,贷款、借出,4101,0.979,life+cet4+cet6+postgrad
loan,v.,借、供应货款、借给,61,0.015,life+cet4+cet6+postgrad
lobby,n.,大厅、休息室、游说议员者,833,0.730,cet6+postgrad
lobby,v.,游说议员、游说,234,0.205,cet6+postgrad
lock,n.,锁、刹车、水闸,2312,0.434,cet4+postgrad
lock,v.,锁、锁上、拘禁,1970,0.370,cet4+postgrad
locomotive,adj.,运转的、火车头的、移动的,338,0.784,cet4+cet6+postgrad
locomotive,n.,火车头、机车,80,0.186,cet4+cet6+postgrad
long,adj.,长的、长久的、冗长的,75020,0.586,life
long,adv.,长久、始终,49856,0.389,life
look,v.,看、注意、朝着,260714,0.765,life
look,n.,一看、神色、样子,80257,0.235,life
loose,adj.,宽松的、松的、宽的,4126,0.788,cet4+cet6+postgrad
loose,adv.,松散地,667,0.127,cet4+cet6+postgrad
loose,v.,释放、放枪、开船,112,0.021,cet4+cet6+postgrad
loud,adj.,大声的、不断的、喧吵的,5951,0.970,cet4+postgrad
loud,adv.,高声地、大声地,145,0.024,cet4+postgrad
love,v.,爱、爱好、爱慕,96887,0.639,life
love,n.,爱、恋爱、爱情,45102,0.297,life
lower,adj.,低的、下级的、下层的,10513,0.906,cet4+postgrad
lower,v.,降低、跌落、减弱,680,0.059,cet4+postgrad
lure,v.,引诱、诱惑,396,0.584,postgrad
lure,n.,饵、诱惑,282,0.416,postgrad
magic,adj.,魔术的、有魔力的、不可思议的,6234,0.457,cet4+cet6+postgrad
magic,n.,魔术、魔法,5412,0.397,cet4+cet6+postgrad
maiden,adj.,未婚的、处女的、初次的,1108,0.680,cet6+postgrad
maiden,n.,年轻未婚女子、少女、处女,237,0.145,cet6+postgrad
male,n.,男人、雄性动物,5438,0.597,life+cet4+postgrad
male,adj.,男性的、雄性的、有力的,3553,0.390,life+cet4+postgrad
manoeuvre,n.,调遣、演习、策略,653,0.654,cet6+postgrad
manoeuvre,v.,调动、演习、用策略,313,0.313,cet6+postgrad
manual,n.,手册、指南,461,0.458,cet4+cet6+postgrad
manual,adj.,手的、手动的、手工的,449,0.446,cet4+cet6+postgrad
manufacture,n.,产品、制造,491,0.574,cet4+cet6+postgrad
manufacture,v.,制造、假造,358,0.419,cet4+cet6+postgrad
map,n.,地图、天体图、映像,6160,0.934,life
map,v.,映射、绘制...地图、计划,323,0.049,life
marine,adj.,海的、海产的、海底的,1976,0.623,cet4+cet6+postgrad
marine,n.,舰队、水兵、海景画,112,0.035,cet4+cet6+postgrad
market,n.,市场、交易、集市,32388,0.959,life
market,v.,在市场上交易、使上市、销售,561,0.017,life
mass,n.,块、大多数、质量,5735,0.843,life+cet4+cet6+postgrad
mass,adj.,群众的、大规模的、整个的,301,0.044,life+cet4+cet6+postgrad
master,n.,主人、硕士、大师,8105,0.705,life+cet4+cet6+postgrad
master,v.,征服、控制、精通,508,0.044,life+cet4+cet6+postgrad
match,n.,比赛、火柴、对手,21575,0.805,life
match,v.,使相配、使比赛、与...竞争,4114,0.154,life
material,n.,材料、物资、素材,7307,0.978,life+cet4+cet6+postgrad
material,adj.,物质的、肉体的、重要的,84,0.011,life+cet4+cet6+postgrad
matter,n.,事件、物质、原因,25152,0.715,life
matter,v.,有关系,9995,0.284,life
mature,adj.,成熟的、到期的、充分考虑的,1753,0.772,cet4+cet6+postgrad
mature,v.,使成熟,443,0.195,cet4+cet6+postgrad
maximum,n.,极点、最大量、极大,4649,0.756,cet4+cet6+postgrad
maximum,adj.,最高的、最大的、最大极限的,1198,0.195,cet4+cet6+postgrad
mean,v.,意谓、想要、意欲,96757,0.947,life
mean,adj.,低劣的、卑贱的、简陋的,3077,0.030,life
mean,n.,平均数、中间、中庸,2152,0.021,life
meantime,n.,间隔时间、其时,2515,0.965,cet4+cet6+postgrad
meantime,adv.,其间,92,0.035,cet4+cet6+postgrad
measure,n.,尺寸、量度器、量度标准,3659,0.600,life+cet4+cet6+postgrad
measure,v.,测量、测度、估量,2439,0.400,life+cet4+cet6+postgrad
mechanic,adj.,手工的,362,0.544,cet4+cet6+postgrad
mechanic,n.,机械工、技工,276,0.414,cet4+cet6+postgrad
medium,n.,媒体、方法、媒介,1908,0.583,cet4+cet6+postgrad
medium,adj.,半生熟的、中间的,1336,0.408,cet4+cet6+postgrad
mention,v.,提到、提及,6194,0.836,life
mention,n.,提到、言及、陈述,1196,0.161,life
merit,n.,优点、功绩、价值,620,0.816,cet4+cet6+postgrad
merit,v.,值得,64,0.084,cet4+cet6+postgrad
mesh,n.,网孔、网丝、网眼,338,0.901,cet6
mesh,v.,以网捕捉、啮合、使缠住,36,0.096,cet6
middle,n.,中央、中间、腰部,21120,0.612,life
middle,adj.,中央的、中庸的、中间的,8536,0.247,life
mighty,adj.,有势力的、强大的、有力的,2535,0.754,cet6
mighty,adv.,很、极,316,0.094,cet6
military,adj.,军事的、军人的、适于战争的,11597,0.875,life+cet4+cet6+postgrad
military,n.,军队,1210,0.091,life+cet4+cet6+postgrad
mind,n.,思想、愿望、智力,37336,0.627,life
mind,v.,介意、注意、留心,21710,0.365,life
miniature,adj.,小规模的、纤小的,908,0.543,cet6+postgrad
miniature,n.,缩图、小画像,726,0.434,cet6+postgrad
minimum,n.,最小值,2386,0.484,cet4+cet6+postgrad
minimum,adj.,最小的、最低的,2342,0.475,cet4+cet6+postgrad
minute,n.,分、分钟、片刻,32333,0.947,life
minute,adj.,微小的、详细的,1468,0.043,life
mirror,n.,镜子、写真、典范,4477,0.789,life+cet4+cet6+postgrad
mirror,v.,反映、映出,197,0.035,life+cet4+cet6+postgrad
mix,n.,混合物、混乱、糊涂,6496,0.637,life+cet4+postgrad
mix,v.,使混合、弄混、使结合,2903,0.285,life+cet4+postgrad
mock,adj.,假的、伪造的、模拟的,893,0.799,cet6+postgrad
mock,v.,嘲弄、模仿、使失望,29,0.026,cet6+postgrad
model,n.,模型、模范、模特儿,8663,0.930,life+cet4+postgrad
model,v.,做模型、做模特儿,227,0.024,life+cet4+postgrad
moderate,adj.,适度的、稳健的、中等的,865,0.918,cet4+cet6+postgrad
moderate,v.,节制、减轻、使缓和,73,0.077,cet4+cet6+postgrad
monitor,v.,监视、监听、监督,1327,0.565,cet4+cet6+postgrad
monitor,n.,监督器、级长、监听员,876,0.373,cet4+cet6+postgrad
more,adj.,多的、程度较大的、更大的,235883,0.562,life
more,adv.,多、更多、进一步,183647,0.438,life
mosaic,adj.,马赛克的、镶嵌细工的、拼花的,253,0.588,postgrad
mosaic,n.,马赛克、镶嵌细工、镶嵌工艺,150,0.349,postgrad
most,adv.,最、最多、极其,93245,0.638,life
most,adj.,大多数的、几乎全部的、最多的,53013,0.362,life
mould,n.,模子、模制品、松软沃土,1700,0.773,cet4+cet6+postgrad
mould,v.,形成、浇铸、用泥土覆盖,279,0.127,cet4+cet6+postgrad
move,v.,移动、开动、感动,45255,0.734,life
move,n.,移动、迁居、步骤,16393,0.266,life
much,adv.,多、甚、几乎,144397,0.551,life
much,adj.,很多的、重要的,117590,0.449,life
muddy,adj.,泥泞的、浑浊的、模糊的,1213,0.821,cet4+cet6
muddy,v.,使污浊、使沾上泥污,50,0.034,cet4+cet6
mug,n.,有柄大杯、脸、苦读者,1562,0.902,cet4+cet6+postgrad
mug,v.,给...拍照、攻击、苦读,121,0.070,cet4+cet6+postgrad
multiple,adj.,多样的、许多的、多功能的,2559,0.966,life+cet4+cet6+postgrad
multiple,n.,倍数、并联,53,0.020,life+cet4+cet6+postgrad
mute,adj.,哑的、无声的、沉默的,252,0.875,cet4+cet6+postgrad
mute,v.,减弱...的声音,27,0.094,cet4+cet6+postgrad
nail,n.,钉子、指甲,2115,0.696,cet4+cet6+postgrad
nail,v.,用钉钉牢、使固定、截住,870,0.286,cet4+cet6+postgrad
name,n.,名字、名称、姓名,78207,0.944,life
name,v.,命名、称呼、任命,4678,0.056,life
nap,n.,小睡、稍睡、细毛,769,0.918,cet4+cet6+postgrad
nap,v.,小睡、疏忽,34,0.041,cet4+cet6+postgrad
narrative,n.,叙述、故事,633,0.599,cet6+postgrad
narrative,adj.,叙述的、叙事的、故事体的,407,0.385,cet6+postgrad
narrow,adj.,狭窄的、仔细的、有限的,3243,0.914,life+cet4+cet6+postgrad
narrow,v.,变窄,266,0.075,life+cet4+cet6+postgrad
native,adj.,本国的、与生俱来的、自然的,2755,0.874,life+cet4+cet6+postgrad
native,n.,本地人、土产、当地人,294,0.093,life+cet4+cet6+postgrad
nearby,adj.,附近的、近旁的,2089,0.589,cet4+cet6+postgrad
nearby,adv.,在附近、近旁地,1457,0.411,cet4+cet6+postgrad
neat,adj.,整洁的、巧妙的、匀称的,1954,0.967,cet4+cet6+postgrad
neat,n.,牛,44,0.022,cet4+cet6+postgrad
need,v.,需要、必需,218261,0.923,life
need,n.,需要、必须、缺乏,16542,0.070,life
net,n.,网、网状物、罗网,4533,0.666,cet4+cet6+postgrad
net,adj.,净的、最终的,2169,0.319,cet4+cet6+postgrad
net,v.,用网捕、撒网、净赚,91,0.013,cet4+cet6+postgrad
next,adj.,下一个的、其次的、贴近的,147219,0.939,life
next,adv.,然后、下次、次于,1669,0.011,life
northeast,n.,东北,275,0.612,cet4+cet6+postgrad
northeast,adv.,向东北、来自东北,43,0.096,cet4+cet6+postgrad
note,n.,笔记、记录、注解,7317,0.865,life
note,v.,记录、注解、注意,1145,0.135,life
notice,v.,注意、通知、评论,6062,0.582,life+cet4+cet6+postgrad
notice,n.,注意、布告、通知,3957,0.380,life+cet4+cet6+postgrad
novel,n.,小说、长篇故事,5050,0.933,life+cet4+cet6+postgrad
novel,adj.,新奇的、异常的,350,0.065,life+cet4+cet6+postgrad
nutrient,adj.,营养的、滋养的,100,0.794,cet6
nutrient,n.,营养物、滋养物,25,0.198,cet6
object,n.,物体、目标、目的,5250,0.874,life+cet4+cet6+postgrad
object,v.,反对、抱反感,726,0.121,life+cet4+cet6+postgrad
objective,n.,目的、目标、宗旨,1202,0.758,cet4+cet6+postgrad
objective,adj.,客观的、如实的、无偏见的,369,0.233,cet4+cet6+postgrad
